ObjectID;Numéro du bureau de vote;Libellé du bureau de vote;Adresse;Code Postal;Identifiant du bureau de vote;geo_shape;geo_point_2d
716;34;ECOLE ELEMENTAIRE;29 RUE JOSEPH DE MAISTRE;75018;18-34;"{""type"": ""Point"", ""coordinates"": [2.330726726620192, 48.89154833627072]}";48.8915483363, 2.33072672662
721;39;ECOLE ELEMENTAIRE;67 RUE DAMREMONT;75018;18-39;"{""type"": ""Point"", ""coordinates"": [2.335358695312231, 48.892378706460526]}";48.8923787065, 2.33535869531
728;46;ECOLE MATERNELLE;131 RUE BELLIARD;75018;18-46;"{""type"": ""Point"", ""coordinates"": [2.335407143288282, 48.89632117123321]}";48.8963211712, 2.33540714329
732;50;ECOLE ELEMENTAIRE;19 RUE FERNAND LABORI;75018;18-50;"{""type"": ""Point"", ""coordinates"": [2.342251143410096, 48.89912761645504]}";48.8991276165, 2.34225114341
737;55;ECOLE ELEMENTAIRE;8 RUE SAINT MATHIEU;75018;18-55;"{""type"": ""Point"", ""coordinates"": [2.355237513230718, 48.88635805580155]}";48.8863580558, 2.35523751323
748;66;ECOLE ELEMENTAIRE;5 RUE FERDINAND FLOCON;75018;18-66;"{""type"": ""Point"", ""coordinates"": [2.345879667229152, 48.891647996015706]}";48.891647996, 2.34587966723
749;67;ANNEXE COLLEGE HECTOR BERLIOZ;9 RUE GUSTAVE ROUANET;75018;18-67;"{""type"": ""Point"", ""coordinates"": [2.340098604791478, 48.8963119511778]}";48.8963119512, 2.34009860479
751;1;MAIRIE D'ARRONDISSEMENT;5 PLACE ARMAND CARREL;75019;19-1;"{""type"": ""Point"", ""coordinates"": [2.381917974018838, 48.882794587275285]}";48.8827945873, 2.38191797402
782;32;ECOLE ELEMENTAIRE;4 RUE FESSART;75019;19-32;"{""type"": ""Point"", ""coordinates"": [2.3886274016345013, 48.87620483849713]}";48.8762048385, 2.38862740163
783;33;ECOLE ELEMENTAIRE A;16 RUE EUGENIE COTTON;75019;19-33;"{""type"": ""Point"", ""coordinates"": [2.394524939038747, 48.8787419839548]}";48.878741984, 2.39452493904
786;36;ECOLE MATERNELLE;2 RUE DES BOIS;75019;19-36;"{""type"": ""Point"", ""coordinates"": [2.395828178076988, 48.877649974005145]}";48.877649974, 2.39582817808
794;44;ECOLE ELEMENTAIRE A;7 RUE BARBANEGRE;75019;19-44;"{""type"": ""Point"", ""coordinates"": [2.382861775847236, 48.89213866689789]}";48.8921386669, 2.38286177585
799;49;ECOLE ELEMENTAIRE A;7 RUE BARBANEGRE;75019;19-49;"{""type"": ""Point"", ""coordinates"": [2.382861775847236, 48.89213866689789]}";48.8921386669, 2.38286177585
815;65;ECOLE ELEMENTAIRE A;7 RUE TANDOU;75019;19-65;"{""type"": ""Point"", ""coordinates"": [2.37899297230645, 48.885975575236564]}";48.8859755752, 2.37899297231
833;13;ECOLE MATERNELLE;4 RUE DU JOURDAIN;75020;20-13;"{""type"": ""Point"", ""coordinates"": [2.389605628771553, 48.87451440876751]}";48.8745144088, 2.38960562877
835;15;ECOLE MATERNELLE;172 RUE PELLEPORT;75020;20-15;"{""type"": ""Point"", ""coordinates"": [2.398023067087248, 48.87377192602311]}";48.873771926, 2.39802306709
841;21;ANNEXE ECOLE POLYVALENTE;6 PASSAGE DES TOURELLES;75020;20-21;"{""type"": ""Point"", ""coordinates"": [2.404265426664672, 48.8751711472845]}";48.8751711473, 2.40426542666
847;27;CLUB MORTIER;75 BOULEVARD MORTIER;75020;20-27;"{""type"": ""Point"", ""coordinates"": [2.408651178509927, 48.869301090114305]}";48.8693010901, 2.40865117851
853;33;CENTRE D'ACCUEIL ET D'ANIMATION 20E;46 RUE LOUIS LUMIERE;75020;20-33;"{""type"": ""Point"", ""coordinates"": [2.411429622104656, 48.860420527279835]}";48.8604205273, 2.4114296221
866;46;COLLEGE HENRI MATISSE;40 bis RUE DES ORTEAUX;75020;20-46;"{""type"": ""Point"", ""coordinates"": [2.4019663556155813, 48.85654205841213]}";48.8565420584, 2.40196635562
868;48;ECOLE ELEMENTAIRE;54 RUE PLANCHAT;75020;20-48;"{""type"": ""Point"", ""coordinates"": [2.396473861954329, 48.85596385709628]}";48.8559638571, 2.39647386195
869;49;ECOLE MATERNELLE;52 RUE PLANCHAT;75020;20-49;"{""type"": ""Point"", ""coordinates"": [2.396600657789917, 48.85580459251443]}";48.8558045925, 2.39660065779
875;55;ECOLE MATERNELLE;18 RUE MARYSE HILSZ;75020;20-55;"{""type"": ""Point"", ""coordinates"": [2.412917324054383, 48.85061888601051]}";48.850618886, 2.41291732405
882;62;ECOLE ELEMENTAIRE;9 RUE DE TLEMCEN;75020;20-62;"{""type"": ""Point"", ""coordinates"": [2.3870939797886113, 48.86458874463536]}";48.8645887446, 2.38709397979
883;63;ECOLE MATERNELLE;90 RUE DES AMANDIERS;75020;20-63;"{""type"": ""Point"", ""coordinates"": [2.389419935403687, 48.86696740958321]}";48.8669674096, 2.3894199354
891;71;ECOLE MATERNELLE;15 RUE D EUPATORIA;75020;20-71;"{""type"": ""Point"", ""coordinates"": [2.387335867615419, 48.86889593189242]}";48.8688959319, 2.38733586762
894;74;CASVP RESTAURANT PIAT;33 RUE PIAT;75020;20-74;"{""type"": ""Point"", ""coordinates"": [2.384001796831069, 48.87219193176253]}";48.8721919318, 2.38400179683
